iter	Passed	Remaining
0	59	59364
1	62	31345
2	65	21775
3	68	17002
4	71	14190
5	73	12252
6	76	10885
7	79	9885
8	82	9048
9	84	8397
10	87	7896
11	90	7429
12	92	7036
13	95	6706
14	97	6411
15	100	6169
16	103	5958
17	105	5763
18	107	5571
19	110	5412
20	112	5258
21	115	5115
22	117	4995
23	120	4900
24	122	4793
25	125	4694
26	127	4609
27	130	4530
28	133	4461
29	135	4396
30	138	4326
31	140	4264
32	144	4222
33	146	4160
34	149	4108
35	151	4065
36	154	4033
37	157	3979
38	160	3943
39	162	3894
40	164	3853
41	167	3828
42	170	3793
43	173	3767
44	176	3740
45	178	3703
46	181	3677
47	184	3651
48	186	3623
49	189	3604
50	192	3575
51	195	3555
52	197	3528
53	200	3504
54	203	3490
55	205	3466
56	208	3451
57	210	3426
58	213	3412
59	217	3400
60	219	3378
61	221	3354
62	224	3343
63	227	3321
64	229	3301
65	232	3285
66	234	3268
67	236	3248
68	239	3233
69	242	3219
70	244	3199
71	246	3182
72	249	3170
73	251	3152
74	254	3135
75	257	3125
76	259	3109
77	261	3096
78	264	3081
79	267	3073
80	269	3058
81	272	3046
82	275	3039
83	277	3024
84	279	3009
85	282	2998
86	284	2985
87	287	2974
88	289	2963
89	291	2950
90	294	2937
91	296	2927
92	299	2916
93	301	2904
94	303	2893
95	306	2886
96	308	2875
97	311	2866
98	313	2855
99	316	2850
100	319	2840
101	321	2832
102	324	2825
103	326	2816
104	329	2808
105	332	2804
106	335	2796
107	337	2790
108	340	2784
109	342	2774
110	345	2766
111	348	2761
112	350	2754
113	353	2749
114	356	2743
115	359	2736
116	361	2726
117	364	2721
118	366	2712
119	368	2702
120	371	2695
121	373	2686
122	375	2677
123	377	2669
124	380	2663
125	383	2659
126	385	2651
127	388	2647
128	391	2641
129	393	2634
130	396	2630
131	399	2625
132	401	2618
133	404	2611
134	406	2603
135	408	2598
136	411	2591
137	413	2584
138	416	2577
139	418	2569
140	421	2565
141	423	2557
142	425	2550
143	428	2545
144	430	2541
145	433	2534
146	435	2527
147	438	2523
148	440	2515
149	442	2509
150	445	2502
151	447	2496
152	449	2489
153	452	2486
154	455	2481
155	457	2477
156	460	2471
157	462	2467
158	465	2463
159	468	2457
160	470	2452
161	473	2447
162	475	2440
163	478	2437
164	480	2432
165	482	2425
166	485	2419
167	487	2414
168	489	2408
169	492	2405
170	495	2399
171	497	2394
172	499	2388
173	501	2382
174	504	2378
175	506	2372
176	508	2366
177	511	2361
178	513	2356
179	516	2351
180	518	2346
181	521	2341
182	523	2336
183	525	2331
184	527	2325
185	530	2322
186	532	2316
187	535	2314
188	538	2310
189	540	2305
190	543	2302
191	546	2297
192	548	2292
193	550	2288
194	553	2283
195	555	2280
196	558	2276
197	560	2272
198	563	2269
199	566	2264
200	569	2263
201	572	2260
202	574	2255
203	576	2250
204	579	2246
205	581	2242
206	584	2237
207	586	2234
208	589	2229
209	591	2225
210	594	2221
211	596	2216
212	598	2211
213	600	2207
214	603	2203
215	605	2198
216	607	2193
217	610	2189
218	613	2186
219	615	2183
220	618	2179
221	620	2174
222	622	2169
223	624	2165
224	627	2161
225	629	2156
226	632	2153
227	635	2150
228	637	2146
229	639	2142
230	642	2139
231	645	2135
232	647	2131
233	650	2129
234	652	2124
235	655	2120
236	657	2115
237	659	2112
238	662	2108
239	664	2104
240	666	2100
241	669	2096
242	671	2092
243	673	2088
244	676	2084
245	678	2080
246	681	2076
247	683	2072
248	686	2070
249	688	2066
250	691	2063
251	694	2059
252	696	2056
253	698	2051
254	700	2047
255	703	2044
256	705	2041
257	708	2037
258	711	2034
259	713	2030
260	715	2026
261	718	2023
262	720	2019
263	722	2015
264	725	2011
265	728	2009
266	730	2005
267	732	2001
268	736	2000
269	738	1996
270	740	1992
271	743	1989
272	745	1985
273	748	1982
274	750	1979
275	753	1976
276	755	1973
277	758	1970
278	761	1967
279	763	1963
280	766	1960
281	768	1957
282	771	1953
283	773	1950
284	776	1947
285	778	1943
286	781	1940
287	783	1937
288	786	1934
289	788	1931
290	791	1928
291	794	1925
292	796	1921
293	798	1917
294	801	1914
295	803	1912
296	806	1908
297	809	1905
298	811	1902
299	813	1898
300	816	1895
301	818	1892
302	821	1888
303	823	1885
304	825	1881
305	828	1877
306	830	1874
307	833	1871
308	835	1869
309	838	1865
310	840	1862
311	843	1859
312	846	1857
313	849	1854
314	851	1851
315	854	1849
316	856	1846
317	859	1843
318	861	1839
319	864	1837
320	867	1834
321	870	1832
322	872	1829
323	875	1825
324	877	1822
325	880	1819
326	882	1816
327	884	1812
328	887	1809
329	889	1806
330	893	1804
331	895	1801
332	898	1798
333	900	1795
334	903	1792
335	905	1788
336	907	1786
337	910	1783
338	913	1780
339	915	1777
340	917	1774
341	920	1770
342	922	1767
343	925	1765
344	928	1762
345	930	1758
346	933	1756
347	936	1753
348	938	1750
349	941	1747
350	944	1745
351	946	1741
352	948	1739
353	951	1737
354	954	1734
355	957	1732
356	960	1729
357	962	1726
358	965	1723
359	969	1723
360	972	1720
361	974	1717
362	976	1714
363	979	1711
364	981	1707
365	984	1704
366	986	1701
367	988	1698
368	991	1694
369	993	1691
370	995	1688
371	998	1685
372	1000	1682
373	1003	1680
374	1006	1677
375	1009	1674
376	1011	1671
377	1013	1668
378	1016	1666
379	1019	1662
380	1022	1660
381	1024	1657
382	1026	1654
383	1029	1651
384	1032	1648
385	1034	1645
386	1036	1642
387	1039	1639
388	1041	1636
389	1044	1633
390	1046	1629
391	1049	1628
392	1052	1625
393	1054	1622
394	1057	1619
395	1059	1616
396	1061	1612
397	1064	1610
